source,target,weight
N1,N2,3
N2,N3,4
N3,N4,4
N4,N5,5
N5,N6,3
N6,N7,2
N7,N8,1
N8,N9,1
N9,N10,1
N10,N11,3
N11,N12,5
N12,N13,3
N13,N14,4
N14,N15,2
N15,N16,3
N16,N17,1
N17,N18,5
N18,N19,1
N19,N20,1
N20,N21,1
N21,N22,2
N22,N23,4
N23,N24,5
N24,N25,4
N25,N26,3
N26,N27,1
N27,N28,2
N28,N29,2
N29,N30,3
N30,N31,5
N31,N32,1
N32,N33,5
N33,N34,5
N34,N35,3
N35,N36,2
N36,N37,3
N37,N38,5
N38,N39,2
N39,N40,3
N40,N41,2
N41,N42,4
N42,N43,1
N43,N44,2
N44,N45,2
N45,N46,1
N46,N47,5
N47,N48,5
N48,N49,5
N49,N50,2
N50,N51,5
N51,N52,5
N52,N53,3
N53,N54,3
N54,N55,2
N55,N56,2
N56,N57,1
N57,N58,1
N58,N59,5
N59,N60,5
N60,N61,5
N61,N62,4
N62,N63,1
N63,N64,5
N64,N65,1
N65,N66,1
N66,N67,5
N67,N68,1
N68,N69,4
N69,N70,1
N70,N71,2
N71,N72,5
N72,N73,3
N73,N74,5
N74,N75,4
N75,N76,3
N76,N77,5
N77,N78,1
N78,N79,3
N79,N80,3
N80,N81,1
N81,N82,5
N82,N83,5
N83,N84,2
N84,N85,3
N85,N86,4
N86,N87,3
N87,N88,2
N88,N89,5
N89,N90,5
N90,N91,5
N91,N92,2
N92,N93,2
N93,N94,3
N94,N95,1
N95,N96,3
N96,N97,4
N97,N98,3
N98,N99,5
N99,N100,1
N100,N101,3
N101,N102,1
N102,N103,1
N103,N104,3
N104,N105,1
N105,N106,5
N106,N107,5
N107,N108,3
N108,N109,3
N109,N110,4
N110,N111,1
N111,N112,2
N112,N113,3
N113,N114,5
N114,N115,1
N115,N116,4
N116,N117,4
N117,N118,5
N118,N119,2
N119,N120,3
N120,N121,3
N121,N122,4
N122,N123,2
N123,N124,5
N124,N125,4
N125,N126,1
N126,N127,1
N127,N128,3
N128,N129,2
N129,N130,4
N130,N131,2
N131,N132,2
N132,N133,3
N133,N134,1
N134,N135,5
N135,N136,4
N136,N137,4
N137,N138,5
N138,N139,5
N139,N140,3
