source,target,weight
N1,N2,1
N2,N3,2
N3,N4,3
N4,N5,5
N5,N6,5
N6,N7,5
N7,N8,2
N8,N9,1
N9,N10,1
N10,N11,2
N11,N12,5
N12,N13,2
N13,N14,3
N14,N15,4
N15,N16,1
N16,N17,4
N17,N18,3
N18,N19,4
N19,N20,5
N20,N21,5
N21,N22,4
N22,N23,3
N23,N24,3
N24,N25,5
N25,N26,3
N26,N27,3
N27,N28,2
N28,N29,2
N29,N30,5
N30,N31,3
N31,N32,3
N32,N33,2
N33,N34,4
N34,N35,2
N35,N36,4
N36,N37,5
N37,N38,5
N38,N39,2
N39,N40,5
N40,N41,1
N41,N42,5
N42,N43,2
N43,N44,2
N44,N45,5
N45,N46,5
N46,N47,3
N47,N48,3
N48,N49,5
N49,N50,5
N50,N51,4
N51,N52,1
N52,N53,3
N53,N54,1
N54,N55,1
N55,N56,5
N56,N57,1
N57,N58,3
N58,N59,2
N59,N60,4
N60,N61,4
N61,N62,3
N62,N63,2
N63,N64,4
N64,N65,2
N65,N66,3
N66,N67,3
N67,N68,3
N68,N69,2
N69,N70,2
N70,N71,5
N71,N72,4
N72,N73,3
N73,N74,4
N74,N75,3
N75,N76,1
N76,N77,5
N77,N78,2
N78,N79,5
N79,N80,4
N80,N81,2
N81,N82,1
N82,N83,4
N83,N84,4
N84,N85,5
N85,N86,5
N86,N87,4
N87,N88,3
N88,N89,5
N89,N90,1
N90,N91,4
N91,N92,4
N92,N93,5
N93,N94,1
N94,N95,3
N95,N96,2
N96,N97,4
N97,N98,5
N98,N99,1
N99,N100,5
N100,N101,5
N101,N102,2
N102,N103,3
N103,N104,3
N104,N105,4
N105,N106,3
N106,N107,4
N107,N108,4
N108,N109,5
N109,N110,3
N110,N111,3
N111,N112,4
N112,N113,4
N113,N114,2
N114,N115,1
N115,N116,4
N116,N117,2
N117,N118,4
N118,N119,1
N119,N120,5
N120,N121,5
N121,N122,5
N122,N123,2
N123,N124,1
N124,N125,1
N125,N126,4
N126,N127,2
N127,N128,1
N128,N129,1
N129,N130,2
N130,N131,1
N131,N132,1
N132,N133,5
N133,N134,4
N134,N135,2
N135,N136,2
N136,N137,4
N137,N138,4
N138,N139,2
N139,N140,4
N140,N141,1
N141,N142,3
N142,N143,2
N143,N144,5
N144,N145,4
N145,N146,4
N146,N147,1
N147,N148,4
N148,N149,2
N149,N150,2
N150,N151,4
N151,N152,5
N152,N153,4
N153,N154,2
N154,N155,2
N155,N156,2
N156,N157,4
N157,N158,3
N158,N159,1
N159,N160,4
N160,N161,4
N161,N162,5
N162,N163,2
N163,N164,5
N164,N165,4
N165,N166,2
N166,N167,3
N167,N168,3
N168,N169,1
N169,N170,1
N170,N171,5
N171,N172,1
N172,N173,4
N173,N174,2
N174,N175,1
N175,N176,1
