source,target,weight
N1,N2,3
N2,N3,4
N3,N4,4
N4,N5,3
N5,N6,4
N6,N7,1
N7,N8,3
N8,N9,4
N9,N10,1
N10,N11,1
N11,N12,3
N12,N13,5
N13,N14,1
N14,N15,5
N15,N16,4
N16,N17,1
N17,N18,1
N18,N19,1
N19,N20,5
N20,N21,4
N21,N22,1
N22,N23,1
N23,N24,2
N24,N25,3
N25,N26,3
N26,N27,1
N27,N28,5
N28,N29,3
N29,N30,5
N30,N31,4
N31,N32,3
N32,N33,1
N33,N34,2
N34,N35,5
N35,N36,4
N36,N37,5
N37,N38,3
N38,N39,3
N39,N40,2
N40,N41,2
N41,N42,5
N42,N43,3
N43,N44,2
N44,N45,1
N45,N46,2
N46,N47,5
N47,N48,2
N48,N49,4
N49,N50,1
N50,N51,5
N51,N52,2
N52,N53,5
N53,N54,1
N54,N55,1
N55,N56,5
N56,N57,3
N57,N58,5
N58,N59,3
N59,N60,2
N60,N61,1
N61,N62,3
N62,N63,2
N63,N64,3
N64,N65,1
N65,N66,4
N66,N67,5
N67,N68,5
N68,N69,2
N69,N70,2
N70,N71,3
N71,N72,4
N72,N73,3
N73,N74,4
N74,N75,5
N75,N76,4
N76,N77,4
N77,N78,5
N78,N79,5
N79,N80,2
N80,N81,5
N81,N82,3
N82,N83,2
N83,N84,5
N84,N85,4
N85,N86,3
N86,N87,1
N87,N88,4
N88,N89,3
N89,N90,3
N90,N91,4
N91,N92,2
N92,N93,2
N93,N94,2
N94,N95,1
N95,N96,3
N96,N97,1
N97,N98,1
N98,N99,5
N99,N100,1
N1,N49,1
N1,N12,2
N1,N66,4
N2,N34,3
N2,N16,3
N2,N14,1
N3,N67,1
N3,N48,4
N3,N100,1
N4,N79,4
N4,N39,3
N4,N19,3
N5,N25,5
N5,N34,2
N5,N4,3
N6,N50,3
N6,N25,5
N6,N17,2
N7,N78,2
N7,N98,1
N7,N54,4
N8,N48,3
N8,N62,2
N8,N59,3
N9,N30,4
N9,N46,1
N9,N53,4
N10,N71,5
N10,N47,5
N10,N92,5
N11,N93,4
N11,N70,3
N11,N86,2
N12,N94,1
N12,N57,3
N12,N16,4
N13,N72,2
N13,N55,1
N13,N18,1
N14,N54,3
