source,target,weight
N1,N2,3
N2,N3,3
N3,N4,1
N4,N5,3
N5,N6,1
N6,N7,2
N7,N8,4
N8,N9,1
N9,N10,1
N10,N11,3
N11,N12,2
N12,N13,4
N13,N14,5
N14,N15,1
N15,N16,2
N16,N17,4
N17,N18,3
N18,N19,1
N19,N20,1
N20,N21,2
N21,N22,1
N22,N23,2
N23,N24,4
N24,N25,5
N25,N26,4
N26,N27,1
N27,N28,4
N28,N29,1
N29,N30,2
N30,N31,2
N31,N32,1
N32,N33,4
N33,N34,4
N34,N35,4
N35,N36,4
N36,N37,3
N37,N38,3
N38,N39,5
N39,N40,4
N40,N41,1
N41,N42,4
N42,N43,3
N43,N44,4
N44,N45,5
N45,N46,3
N46,N47,4
N47,N48,2
N48,N49,2
N49,N50,5
N50,N51,3
N51,N52,4
N52,N53,4
N53,N54,5
N54,N55,4
N55,N56,4
N56,N57,2
N57,N58,1
N58,N59,2
N59,N60,1
N60,N61,3
N61,N62,5
N62,N63,2
N63,N64,5
N64,N65,5
N65,N66,3
N66,N67,3
N67,N68,5
N68,N69,2
N69,N70,3
N70,N71,3
N71,N72,4
N72,N73,4
N73,N74,2
N74,N75,4
N75,N76,3
N76,N77,4
N77,N78,2
N78,N79,2
N79,N80,4
N80,N81,5
N81,N82,1
N82,N83,1
N83,N84,1
N84,N85,3
N85,N86,1
N86,N87,5
N87,N88,2
N88,N89,2
N89,N90,3
N90,N91,5
N91,N92,2
N92,N93,1
N93,N94,4
N94,N95,5
N95,N96,1
N96,N97,3
N97,N98,2
N98,N99,4
N99,N100,3
N100,N101,3
N101,N102,2
N102,N103,4
N103,N104,1
N104,N105,3
N105,N106,4
N106,N107,4
N107,N108,3
N108,N109,4
N109,N110,4
N110,N111,2
N111,N112,4
N112,N113,5
N113,N114,4
N114,N115,1
N115,N116,3
N116,N117,3
N117,N118,2
N118,N119,5
N119,N120,2
N120,N121,2
N121,N122,4
N122,N123,4
N123,N124,3
N124,N125,5
N125,N126,5
N126,N127,1
N127,N128,5
N128,N129,4
N129,N130,2
N130,N131,3
N131,N132,5
N132,N133,5
N133,N134,4
N134,N135,1
N135,N136,5
N136,N137,1
N137,N138,1
N138,N139,4
N139,N140,2
N140,N141,1
N141,N142,1
N142,N143,3
N143,N144,3
N144,N145,5
N145,N146,3
N146,N147,1
N147,N148,4
