name,value
N1,value_1
N2,value_2
N3,value_3
N4,value_4
N5,value_5
N6,value_6
N7,value_7
N8,value_8
N9,value_9
N10,value_10
N11,value_11
N12,value_12
N13,value_13
N14,value_14
N15,value_15
N16,value_16
N17,value_17
N18,value_18
N19,value_19
N20,value_20
N21,value_21
N22,value_22
N23,value_23
N24,value_24
N25,value_25
N26,value_26
N27,value_27
N28,value_28
N29,value_29
N30,value_30
N31,value_31
N32,value_32
N33,value_33
N34,value_34
N35,value_35
N36,value_36
N37,value_37
N38,value_38
N39,value_39
N40,value_40
N41,value_41
N42,value_42
N43,value_43
N44,value_44
N45,value_45
N46,value_46
N47,value_47
N48,value_48
N49,value_49
N50,value_50
